Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.93911,67.709953,7/17/20,23151,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/16/20,22824,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/15/20,22456,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/14/20,21454,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/13/20,21254,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/12/20,21216,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/11/20,21135,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/10/20,20882,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/9/20,20847,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/8/20,20700,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/7/20,20179,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/6/20,20103,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/5/20,19366,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/4/20,19164,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/3/20,17331,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/2/20,16041,AFG,142,34,
,Afghanistan,33.93911,67.709953,7/1/20,15651,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/30/20,14131,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/29/20,13934,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/28/20,12604,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/27/20,10674,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/26/20,10306,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/25/20,10174,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/24/20,9869,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/23/20,9260,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/22/20,8841,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/21/20,8764,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/20/20,8292,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/19/20,7962,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/18/20,7660,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/17/20,6158,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/16/20,5508,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/15/20,5164,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/14/20,4725,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/13/20,4201,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/12/20,3928,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/11/20,3326,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/10/20,3013,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/9/20,2651,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/8/20,2171,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/7/20,1875,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/6/20,1830,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/5/20,1762,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/4/20,1585,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/3/20,1522,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/2/20,1450,AFG,142,34,
,Afghanistan,33.93911,67.709953,6/1/20,1428,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/31/20,1328,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/30/20,1303,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/29/20,1259,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/28/20,1209,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/27/20,1138,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/26/20,1128,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/25/20,1097,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/24/20,1075,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/23/20,1040,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/22/20,996,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/21/20,938,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/20/20,930,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/19/20,850,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/18/20,801,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/17/20,778,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/16/20,745,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/15/20,745,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/14/20,691,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/13/20,648,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/12/20,610,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/11/20,558,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/10/20,558,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/9/20,502,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/8/20,472,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/7/20,468,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/6/20,458,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/5/20,421,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/4/20,397,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/3/20,345,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/2/20,331,AFG,142,34,
,Afghanistan,33.93911,67.709953,5/1/20,310,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/30/20,260,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/29/20,252,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/28/20,228,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/27/20,220,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/26/20,207,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/25/20,188,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/24/20,188,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/23/20,179,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/22/20,166,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/21/20,150,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/20/20,135,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/19/20,131,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/18/20,112,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/17/20,99,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/16/20,54,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/15/20,43,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/14/20,40,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/13/20,32,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/12/20,32,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/11/20,32,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/10/20,32,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/9/20,32,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/8/20,29,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/7/20,18,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/6/20,18,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/5/20,15,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/4/20,10,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/3/20,10,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/2/20,10,AFG,142,34,
,Afghanistan,33.93911,67.709953,4/1/20,5,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/31/20,5,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/30/20,2,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/29/20,2,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/28/20,2,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/27/20,2,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/26/20,2,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/25/20,2,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/24/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/23/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/22/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/21/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/20/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/19/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/18/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/17/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/16/20,1,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/15/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/14/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/13/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/12/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/11/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/10/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/9/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/8/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/7/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/6/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/5/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/4/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/3/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/2/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,3/1/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/29/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/28/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/27/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/26/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/25/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/24/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/23/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/22/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/21/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/20/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/19/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/18/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/17/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/16/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/15/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/14/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/13/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/12/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/11/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/10/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/9/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/8/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/7/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/6/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/5/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/4/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/3/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/2/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,2/1/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/31/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/30/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/29/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/28/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/27/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/26/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/25/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/24/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/23/20,0,AFG,142,34,
,Afghanistan,33.93911,67.709953,1/22/20,0,AFG,142,34,
,Albania,41.1533,20.1683,10/10/20,9406,ALB,150,39,
,Albania,41.1533,20.1683,10/9/20,9304,ALB,150,39,
,Albania,41.1533,20.1683,10/8/20,9215,ALB,150,39,
,Albania,41.1533,20.1683,10/7/20,9115,ALB,150,39,
,Albania,41.1533,20.1683,10/6/20,8965,ALB,150,39,
,Albania,41.1533,20.1683,10/5/20,8825,ALB,150,39,
,Albania,41.1533,20.1683,10/4/20,8675,ALB,150,39,
,Albania,41.1533,20.1683,10/3/20,8536,ALB,150,39,
,Albania,41.1533,20.1683,10/2/20,8342,ALB,150,39,
,Albania,41.1533,20.1683,10/1/20,8077,ALB,150,39,
,Albania,41.1533,20.1683,9/30/20,7847,ALB,150,39,
,Albania,41.1533,20.1683,9/29/20,7732,ALB,150,39,
,Albania,41.1533,20.1683,9/28/20,7629,ALB,150,39,
,Albania,41.1533,20.1683,9/27/20,7397,ALB,150,39,
,Albania,41.1533,20.1683,9/26/20,7397,ALB,150,39,
,Albania,41.1533,20.1683,9/25/20,7309,ALB,150,39,
,Albania,41.1533,20.1683,9/24/20,7239,ALB,150,39,
,Albania,41.1533,20.1683,9/23/20,7139,ALB,150,39,
,Albania,41.1533,20.1683,9/22/20,7042,ALB,150,39,
,Albania,41.1533,20.1683,9/21/20,6995,ALB,150,39,
,Albania,41.1533,20.1683,9/20/20,6940,ALB,150,39,
,Albania,41.1533,20.1683,9/19/20,6888,ALB,150,39,
,Albania,41.1533,20.1683,9/18/20,6831,ALB,150,39,
,Albania,41.1533,20.1683,9/17/20,6788,ALB,150,39,
,Albania,41.1533,20.1683,9/16/20,6733,ALB,150,39,
